brand,archetype,id,name,category,source_universe,lat,lng,state,municipality,locality,density_proxy_3x3_001deg,density_stratum,nearest_m,n_within_250m,n_within_500m,n_within_800m,n_within_1000m,n_within_1500m,n_within_2000m,n_within_3000m
OXXO,conveniencia,DENUE_6379733,OXXO SUC 50ZGZ ZARAGOZA PBF,autoservicio,seen_prod_denue,19.07299436,-98.17243932,Puebla,Puebla,Heroica Puebla de Zaragoza,1730,Q4_alta,459.64843108375624,0,1,3,3,9,16,37
OXXO,conveniencia,DENUE_6847933,OXXO SUC 504S6 COMONFORT PBF,autoservicio,seen_prod_denue,19.07355662,-98.1767725,Puebla,Puebla,Heroica Puebla de Zaragoza,1730,Q4_alta,459.64843108375624,0,1,3,5,10,18,43
OXXO,conveniencia,DENUE_6405871,OXXO SUC 50DQY MEXICALI MAF,autoservicio,seen_prod_denue,25.84957344,-97.5206755,Tamaulipas,Matamoros,Heroica Matamoros,747,Q2_media_baja,459.6624867970915,0,2,3,6,17,32,74
OXXO,conveniencia,DENUE_6854991,OXXO SUC 50FIL MIRAVAL CUE,autoservicio,seen_prod_denue,18.93604184,-99.23748106,Morelos,Cuernavaca,Cuernavaca,2465,Q4_alta,459.73722917758454,0,2,7,9,18,30,55
OXXO,conveniencia,DENUE_6286161,OXXO SUC 50NLV NAVAL TIJ,autoservicio,seen_prod_denue,31.84659479,-116.6086471,Baja California,Ensenada,Ensenada,732,Q2_media_baja,459.8784496307084,0,1,6,7,14,28,51
OXXO,conveniencia,DENUE_6342751,OXXO SUC 50GOO OLEODUCTO GDL,autoservicio,seen_prod_denue,20.62466308,-103.32696439,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,1166,Q3_media_alta,460.0219517646514,0,1,5,5,9,13,40
OXXO,conveniencia,DENUE_6850802,OXXO SUC 50SN0 SOPLETE GDL,autoservicio,seen_prod_denue,20.62131314,-103.32955821,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,1166,Q3_media_alta,460.0219517646514,0,1,1,3,8,16,39
OXXO,conveniencia,DENUE_9456483,OXXO SUC 50S25 FAUNA GDL,autoservicio,seen_prod_denue,20.62891704,-103.27645439,Jalisco,Tonalá,Tonalá,1565,Q4_alta,460.1572665258046,0,1,1,2,13,22,40
OXXO,conveniencia,DENUE_9469779,OXXO SUC 509UB TONALA MALECON GDL,autoservicio,seen_prod_denue,20.62980063,-103.28077424,Jalisco,Tonalá,Tonalá,1752,Q4_alta,460.1572665258046,0,1,3,4,15,25,41
OXXO,conveniencia,DENUE_6796960,OXXO SUC 50VII CUATRO CAMINOS VER,autoservicio,seen_prod_denue,18.13764313,-94.14633262,Veracruz de Ignacio de la Llave,Agua Dulce,Agua Dulce,655,Q2_media_baja,460.1746147620273,0,1,4,6,8,9,11
OXXO,conveniencia,DENUE_9411734,OXXO SUC 50X86 BELLAVISTA VER,autoservicio,seen_prod_denue,18.14005123,-94.1498743,Veracruz de Ignacio de la Llave,Agua Dulce,Agua Dulce,559,Q2_media_baja,460.1746147620273,0,2,2,4,8,9,11
OXXO,conveniencia,DENUE_6376511,OXXO SUC 50QEJ PENAFIEL PBF,autoservicio,seen_prod_denue,18.48366674,-97.40113567,Puebla,Tehuacán,Tehuacán,1328,Q3_media_alta,460.1808934956914,0,1,2,4,8,11,20
OXXO,conveniencia,DENUE_9393427,OXXO SUC 50X5T 36 PONIENTE PBF,autoservicio,seen_prod_denue,18.48742321,-97.39930449,Puebla,Tehuacán,Tehuacán,1471,Q3_media_alta,460.1808934956914,0,1,3,4,6,9,17
OXXO,conveniencia,DENUE_6376420,OXXO SUC 50BYA SAN CLAUDIO PBF,autoservicio,seen_prod_denue,19.00326008,-98.19852588,Puebla,Puebla,Heroica Puebla de Zaragoza,1983,Q4_alta,460.23241500274946,0,1,4,5,15,29,55
OXXO,conveniencia,DENUE_6379762,OXXO SUC 50PML SAN MANUEL PBF,autoservicio,seen_prod_denue,19.00669743,-98.20096437,Puebla,Puebla,Heroica Puebla de Zaragoza,2122,Q4_alta,460.23241500274946,0,1,3,4,13,30,61
OXXO,conveniencia,DENUE_12324861,OXXO SUC 50XH8 AGUA DULCE GDL,autoservicio,seen_prod_denue,20.61186411,-103.29152205,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,1504,Q4_alta,460.2396608265736,0,1,2,5,9,18,32
OXXO,conveniencia,DENUE_12323663,OXXO SUC 50O1R ALIANZA POPULAR CUE,autoservicio,seen_prod_denue,17.56111059,-99.49829464,Guerrero,Chilpancingo de los Bravo,Chilpancingo de los Bravo,2537,Q4_alta,460.26220232846646,0,1,5,12,24,31,46
